Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Chef's Choice Soup du Jour,South,Dinner,,[],2023-01-20,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Beef Burger No Bun,South,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-20,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Cross Trax French Fries,South,Dinner,"Wheat, Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-20,253,4 OZ,18.9g,21g,1.8g,2g,0g,0g,0mg,0g,550.3mg,2g,0mg,0.7mg,0mcg,240.1mg
Grilled Cheese,South,Dinner,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-20,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-20,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Hot Dogs,South,Dinner,,['Gluten Friendly'],2023-01-20,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
Sweet Potato Black Bean Burger with Bun,South,Dinner,"Wheat, Soybeans","['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-20,330,1 EACH,4g,61g,0g,8g,0g,6g,0mg,0g,500mg,14g,660mg,3.8mg,0mcg,615mg
Halal Spaghetti & Meatballs,South,Dinner,"Eggs, Wheat, Soybeans",['Less Sodium'],2023-01-20,396,8 OZ,5.5g,46g,4.4g,2.8g,0g,7.3g,40mg,0g,573.7mg,16.6g,54.2mg,3.3mg,0mcg,0mg
Brown Chicken Gravy,South,Dinner,"Wheat, Soybeans",['Less Sodium'],2023-01-20,48,2 OZL,3.1g,3.7g,1g,0g,0g,0.4g,0mg,0g,100.6mg,0.5g,2.2mg,0.2mg,0mcg,6.1mg
Herb Baked Chicken,South,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-20,579,1 EACH,44g,0g,13.9g,0g,0g,0g,150.7mg,0g,162.3mg,44g,0mg,2.5mg,mcg,24.6mg
Sauteed Corn & Bacon,South,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-20,83,3 OZ,1g,16g,0.4g,0.1g,0g,1g,2.9mg,0g,63.5mg,1.9g,1.4mg,0mg,0mcg,5.3mg
